Month,Found dead,Wasting,Respiratory,Other/Unknown,Abnormal faeces or other GIT,Non-specific,Nervous,Musculoskeletal &/or Lame,Recumbent,Egg drop or Egg quality,Skin,Count (Billion),Outbreak_Risk_Score
2012-01-01,4,4,2,1,0,0,3,1,1,0,0,155,10
2012-02-01,3,3,1,0,2,0,0,1,1,0,0,154,7
2012-03-01,4,6,0,2,3,1,0,3,0,0,0,162,10
2012-04-01,4,7,6,4,2,0,1,0,0,0,0,164,17
2012-05-01,2,6,8,3,0,1,0,3,1,0,2,165,16
2012-06-01,11,0,5,7,1,1,0,2,1,0,0,160,16
2012-07-01,7,6,1,2,4,0,0,2,1,0,0,158,14
2012-08-01,19,7,10,4,5,0,0,1,1,0,0,159,36
2012-09-01,9,7,1,4,2,0,2,0,1,0,0,163,17
2012-10-01,10,7,11,2,6,0,0,2,2,0,0,165,28
2012-11-01,4,6,4,6,0,0,1,0,3,0,0,166,14
2012-12-01,1,2,2,3,0,5,0,3,0,2,0,159,5
2013-01-01,6,1,4,1,1,2,1,3,1,0,2,157,11
2013-02-01,2,2,0,0,0,0,0,0,3,0,0,156,4
2013-03-01,4,4,2,2,0,0,0,0,1,0,0,164,10
2013-04-01,2,2,1,1,5,1,1,1,2,0,0,166,5
2013-05-01,3,4,1,3,1,2,0,1,0,1,0,167,8
2013-06-01,12,3,5,6,1,0,0,0,0,1,0,162,20
2013-07-01,11,6,3,7,0,0,2,0,1,1,0,160,20
2013-08-01,13,3,0,10,0,1,1,0,0,0,2,161,16
2013-09-01,12,6,6,5,3,0,0,0,1,0,0,165,24
2013-10-01,11,3,1,1,0,2,1,2,0,0,0,167,15
2013-11-01,15,2,2,1,2,0,0,0,1,0,0,168,19
2013-12-01,3,6,0,1,0,0,0,0,0,1,0,161,9
2014-01-01,5,3,2,1,0,2,0,0,0,0,0,159,10
2014-02-01,3,1,1,1,0,0,0,0,0,0,0,158,5
2014-03-01,0,3,0,1,0,1,0,0,0,0,0,166,3
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,168,0
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,169,0
2014-06-01,1,3,0,3,3,2,0,0,0,0,0,164,4
2014-07-01,0,0,0,0,0,0,0,0,0,0,0,162,0
2014-08-01,2,4,0,5,1,2,1,0,0,0,0,163,6
2014-09-01,2,4,10,1,0,2,0,2,0,0,0,167,16
2014-10-01,0,1,1,3,0,0,0,0,1,0,0,169,2
2014-11-01,1,5,1,2,0,0,0,0,0,1,0,170,7
2014-12-01,0,0,0,0,0,0,0,0,0,0,0,163,0
2015-01-01,3,1,1,3,0,0,0,0,0,0,0,161,5
2015-02-01,0,0,0,0,0,1,0,0,0,0,0,160,0
2015-03-01,1,1,2,0,0,0,0,0,0,0,1,168,4
2015-04-01,5,1,0,6,0,0,1,0,1,0,0,170,6
2015-05-01,1,0,4,2,1,0,0,2,0,0,0,171,5
2015-06-01,0,4,0,0,1,0,0,0,0,0,0,166,4
2015-07-01,4,2,5,1,2,0,1,0,0,0,0,164,11
2015-08-01,0,3,0,2,0,3,0,0,0,0,0,165,3
2015-09-01,1,3,0,0,2,3,0,0,0,0,0,169,4
2015-10-01,1,0,5,2,1,0,0,0,0,0,0,171,6
2015-11-01,0,3,1,6,0,0,0,0,0,2,0,172,4
2015-12-01,0,0,3,1,0,0,0,1,0,0,0,165,3
2016-01-01,2,0,2,1,0,0,0,0,0,0,0,163,4
2016-02-01,1,1,2,1,0,0,0,1,1,0,0,162,4
2016-03-01,6,1,1,1,1,0,0,1,0,0,0,170,8
2016-04-01,1,1,5,1,1,0,0,0,0,1,0,172,7
2016-05-01,2,2,0,3,3,0,0,1,2,0,0,173,4
2016-06-01,3,2,2,3,0,0,0,0,0,0,0,168,7
2016-07-01,1,2,2,3,0,0,0,0,0,0,0,166,5
2016-08-01,2,4,0,0,0,1,0,0,1,0,0,167,6
2016-09-01,1,4,1,3,1,0,1,0,0,0,0,171,6
2016-10-01,4,0,2,1,0,0,0,1,0,0,0,173,6
2016-11-01,3,1,0,4,1,3,0,0,0,0,0,174,4
2016-12-01,1,1,1,3,0,0,0,0,1,0,0,167,3
2017-01-01,4,0,0,4,0,5,0,0,0,0,0,165,4
2017-02-01,5,3,1,2,0,0,0,0,0,0,0,164,9
2017-03-01,4,0,2,3,0,0,0,0,0,0,0,172,6
2017-04-01,7,0,0,4,0,0,0,0,0,0,0,174,7
2017-05-01,0,0,0,5,1,1,0,2,1,0,0,175,0
2017-06-01,2,5,0,0,0,0,2,0,0,0,0,170,7
2017-07-01,6,1,1,2,0,0,0,0,0,0,0,168,8
2017-08-01,8,1,0,1,0,1,1,0,1,0,0,169,9
2017-09-01,5,1,0,2,1,0,1,0,0,0,0,173,6
2017-10-01,5,4,0,2,0,0,0,0,0,0,0,175,9
2017-11-01,1,1,1,0,0,1,0,0,0,0,0,176,3
2017-12-01,0,0,1,2,1,0,1,1,0,0,0,169,1
2018-01-01,1,1,1,1,1,0,1,1,0,0,0,167,3
2018-02-01,0,0,1,0,0,1,0,0,0,0,0,166,1
2018-03-01,2,2,0,2,0,0,1,1,0,0,0,174,4
2018-04-01,3,0,2,4,2,0,2,0,1,0,0,176,5
2018-05-01,0,1,0,1,0,4,0,0,0,0,0,177,1
2018-06-01,0,2,0,0,0,0,0,1,0,0,0,172,2
2018-07-01,3,3,3,0,0,0,0,0,0,0,0,170,9
2018-08-01,6,2,3,1,0,0,0,0,1,0,0,171,11
2018-09-01,2,3,1,0,0,0,1,1,1,0,0,175,6
2018-10-01,1,0,3,0,2,0,0,0,1,0,1,177,4
2018-11-01,0,1,1,1,2,0,0,0,0,0,0,178,2
2018-12-01,4,0,0,0,0,0,0,0,0,0,0,171,4
2019-01-01,2,0,1,0,0,0,1,0,0,0,0,169,3
2019-02-01,1,0,2,0,1,0,0,0,0,0,0,168,3
2019-03-01,0,1,1,3,1,0,4,0,0,0,0,176,2
2019-04-01,0,0,0,2,1,0,1,0,0,0,0,178,0
2019-05-01,1,2,2,0,0,1,1,0,0,1,0,179,5
2019-06-01,1,1,0,0,0,0,0,0,0,0,0,174,2
2019-07-01,5,0,0,1,0,1,0,1,0,0,0,172,5
2019-08-01,0,4,4,3,0,1,0,0,0,0,0,173,8
2019-09-01,0,1,5,0,0,0,0,0,1,0,0,177,6
2019-10-01,0,1,2,0,0,0,0,0,0,0,0,179,3
2019-11-01,2,2,0,3,2,1,1,3,0,0,1,180,4
2019-12-01,2,0,0,0,0,1,1,0,0,0,0,173,2
2020-01-01,0,1,0,1,1,0,0,0,0,0,0,171,1
2020-02-01,0,3,0,0,2,0,0,0,0,0,0,170,3
2020-03-01,0,1,1,0,0,2,0,0,0,0,0,178,2
2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,0,0,4,1,0,1,0,1,0,0,0,181,4
2020-06-01,2,0,4,1,1,3,1,0,0,0,0,176,6
2020-07-01,3,1,6,0,0,1,1,1,0,0,0,174,10
2020-08-01,5,2,3,5,1,0,1,1,1,0,0,175,10
2020-09-01,2,3,6,0,0,0,2,0,0,0,0,179,11
2020-10-01,3,1,2,0,4,1,0,0,0,0,0,181,6
2020-11-01,2,0,1,0,1,4,1,0,0,0,0,182,3
2020-12-01,1,0,0,0,1,0,1,0,0,0,0,175,1
2021-01-01,1,1,7,1,0,0,6,0,2,0,0,172,9
2021-02-01,2,1,0,2,1,1,0,0,0,0,0,171,3
2021-03-01,1,0,0,1,0,0,0,0,1,1,0,179,1
2021-04-01,0,7,5,2,1,1,2,1,0,3,0,181,12
2021-05-01,6,2,2,2,3,2,0,0,2,0,0,182,10
2021-06-01,4,1,0,3,4,0,0,0,2,1,0,177,5
2021-07-01,6,4,9,1,2,2,4,4,0,0,0,175,19
2021-08-01,7,4,3,0,2,0,4,1,0,1,0,176,14
2021-09-01,6,10,7,0,6,1,2,0,2,1,0,180,23
2021-10-01,4,5,3,2,1,1,0,0,0,0,0,182,12
2021-11-01,1,3,3,0,1,0,1,2,0,0,0,183,7
2021-12-01,3,1,3,2,1,0,0,0,0,0,0,176,7
2022-01-01,0,0,1,0,0,0,2,0,0,0,0,173,1
2022-02-01,0,1,0,0,0,0,0,0,0,1,0,172,1
2022-03-01,0,1,0,3,1,1,0,0,0,0,0,180,1
2022-04-01,3,4,0,1,0,2,1,0,0,1,0,182,7
2022-05-01,0,0,0,3,1,0,0,0,2,2,0,183,0
2022-06-01,3,4,0,1,0,3,0,0,0,0,0,178,7
2022-07-01,3,3,11,0,2,0,0,4,0,0,0,176,17
2022-08-01,3,5,1,1,0,0,0,0,0,0,1,177,9
2022-09-01,0,5,1,1,1,0,1,1,1,3,1,181,6
2022-10-01,2,5,0,0,0,2,0,0,0,2,0,183,7
2022-11-01,2,0,0,0,0,2,2,0,0,0,0,184,2
2022-12-01,2,0,0,0,0,0,0,0,0,0,0,177,2
2023-01-01,0,1,3,0,0,0,1,0,0,0,0,173,4
2023-02-01,0,2,0,0,0,0,0,1,0,0,0,172,2
2023-03-01,4,0,4,1,0,1,0,1,0,1,0,180,8
2023-04-01,0,0,0,0,2,0,0,0,0,0,0,182,0
2023-05-01,3,2,0,0,0,0,0,2,0,0,0,183,5
2023-06-01,0,0,1,2,3,7,2,0,0,0,0,178,1
2023-07-01,2,0,0,2,2,0,0,0,0,0,0,176,2
2023-08-01,4,0,0,0,2,0,0,0,0,0,0,177,4
2023-09-01,1,3,1,1,1,0,0,0,1,0,0,181,5
2023-10-01,0,5,0,1,1,0,0,1,0,1,0,183,5
2023-11-01,2,1,0,0,1,0,0,0,1,2,0,184,3
2023-12-01,0,1,0,0,0,0,0,1,0,0,0,177,1
2024-01-01,0,0,2,1,0,1,0,0,0,0,0,171,2
2024-02-01,1,3,0,0,2,0,0,0,0,0,1,170,4
2024-03-01,3,2,0,0,0,0,2,0,0,0,0,178,5
2024-04-01,2,3,0,2,1,0,2,1,2,0,0,180,5
2024-05-01,5,0,10,2,0,0,0,0,1,0,0,181,15
2024-06-01,0,3,0,0,0,0,0,0,0,0,0,176,3
2024-07-01,6,3,2,0,0,0,0,0,1,0,0,174,11
2024-08-01,2,1,1,2,3,0,0,1,1,2,0,175,4
2024-09-01,2,2,0,0,1,0,4,0,1,0,0,179,4
2024-10-01,2,2,9,0,0,0,2,1,0,0,0,181,13
2024-11-01,0,2,0,4,1,0,0,1,0,0,0,182,2
2024-12-01,2,1,4,0,0,0,0,1,0,0,0,175,7
