Month,Actual_Risk,Predicted_RF,Predicted_LR
1,1,1.37,0.9999999999999989
2,9,9.4,8.999999999999996
3,2,1.71,1.9999999999999991
4,1,1.2,1.0
5,19,16.88,19.00000000000001
6,4,4.02,3.999999999999997
7,4,4.02,4.000000000000007
8,4,3.47,4.000000000000001
9,3,2.47,3.0000000000000004
10,4,4.82,4.0
11,16,16.09,16.000000000000007
12,5,6.33,5.000000000000003
13,5,5.31,5.0
14,7,7.37,6.999999999999997
15,10,9.58,10.0
16,0,0.01,2.1902769453202834e-16
17,7,6.57,7.000000000000002
18,6,5.03,6.000000000000004
19,4,4.1,4.0
20,9,8.13,9.0
21,2,1.56,2.0000000000000004
22,20,16.43,20.0
23,11,9.28,11.000000000000018
24,28,25.17,28.0
25,6,5.55,5.999999999999997
26,11,12.24,11.0
27,6,6.41,6.0
28,6,6.05,5.9999999999999964
29,7,8.22,7.000000000000001
30,3,3.4,2.999999999999996
31,6,7.47,6.0000000000000036
32,5,4.83,5.000000000000003
